1437951152.784963|SLEEP|WILLSLEEP|
1437951152.786748|ASW|d867ae84449c714e|
1437951153.863593|ASW|16b9e54c981844f2|
1437951156.653419|ASL|disabling touch for internal trackpad (clamshell)|
1437951223.653988|ASW|d867ae84449c714e|
1437951224.255024|WAKE|DIDWAKE|
1437951224.260590|TERMINATE|SHOULDTERMINATE|
1437951224.662060|ASL|closing previous instance of BetterTouchTool relaunch|
1437951224.687642|LAUNCH|DIDLaunch|
1437951225.200477|STDEV|66|
1437951225.294793|ASW|30a24d4e77231f74|
1437951226.319774|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(MacBook) port(56849)|
1437951226.864565|M|checking|
1437951228.009614|M|checking|
1437951228.015730|M|checking|
1437951236.381008|ASW|d867ae84449c714e|
1437951446.461952|ASW|30a24d4e77231f74|
1437951446.487418|ASW|30a24d4e77231f74|
1437951467.275446|ASW|d867ae84449c714e|
1437951470.511176|ASW|30a24d4e77231f74|
1437951488.688274|ASW|d867ae84449c714e|
1437951488.713256|ASW|d867ae84449c714e|
1437951527.988917|ASW|30a24d4e77231f74|
1437951543.911456|ASW|d867ae84449c714e|
1437951560.408340|ASW|30a24d4e77231f74|
1437951603.602914|ASW|d867ae84449c714e|
1437951624.595828|ASW|30a24d4e77231f74|
1437951637.436084|ASW|d867ae84449c714e|
1437951637.473683|ASW|d867ae84449c714e|
1437951749.349394|ASW|30a24d4e77231f74|
1437951749.373083|ASW|30a24d4e77231f74|
1437951759.191137|ASW|d867ae84449c714e|
1437951794.008034|ASW|30a24d4e77231f74|
1437951794.040058|ASW|30a24d4e77231f74|
1437951794.711370|ASW|d867ae84449c714e|
1437951800.132701|ASW|30a24d4e77231f74|
1437951848.913369|ASW|d867ae84449c714e|
1437951857.821853|ASW|30a24d4e77231f74|
1437951866.332165|ASW|d867ae84449c714e|
1437951885.752614|ASW|30a24d4e77231f74|
1437951888.781604|ASW|d867ae84449c714e|
1437951888.810941|ASW|d867ae84449c714e|
1437951910.367521|ASW|30a24d4e77231f74|
1437952034.386539|ASW|d867ae84449c714e|
1437952048.379957|ASW|30a24d4e77231f74|
1437952080.454615|ASW|d867ae84449c714e|
1437952117.063724|ASW|30a24d4e77231f74|
1437952117.089883|ASW|30a24d4e77231f74|
1437952131.015338|ASW|d867ae84449c714e|
1437952131.042833|ASW|d867ae84449c714e|
